fighter_name,Height,Weight,Reach,Stance,DOB
Aaron Lanfranco,,155 lbs.,,,"Aug 26, 1986"
Abdul-Kerim Edilov,"6' 2""",205 lbs.,"78""",Orthodox,"Nov 25, 1991"
Achmed Labasanov,"6' 3""",215 lbs.,,Orthodox,"Apr 24, 1978"
Adam Yandiev,"5' 9""",185 lbs.,"74""",Orthodox,"Aug 07, 1988"
Adli Edwards,,145 lbs.,,,"Aug 28, 1989"
Aiemann Zahabi,"5' 8""",135 lbs.,"68""",Orthodox,"Nov 19, 1987"
Aisling Daly,"5' 2""",115 lbs.,"64""",,"Dec 24, 1987"
Akihito Tanaka,,,,Southpaw,
Akitoshi Tamura,"5' 9""",135 lbs.,"70""",Orthodox,"May 31, 1980"
Al Iaquinta,"5' 10""",155 lbs.,"70""",Orthodox,"Apr 30, 1987"
Alavutdin Gadjiev,"6' 2""",185 lbs.,,Orthodox,"Jun 23, 1982"
Alberto Uda,"6' 3""",185 lbs.,"77""",Orthodox,"Aug 08, 1984"
Aleksandar Rakic,"6' 4""",205 lbs.,"78""",Orthodox,"Feb 06, 1992"
Aleksei Oleinik,"6' 2""",240 lbs.,"80""",Orthodox,"Jun 20, 1977"
Alessio Sakara,"6' 0""",185 lbs.,"72""",Orthodox,"Sep 02, 1981"
Alex Caceres,"5' 10""",145 lbs.,"73""",Southpaw,"Jun 20, 1988"
Alex Da Silva,"5' 8""",155 lbs.,"73""",Orthodox,"Feb 04, 1996"
Alex Karalexis,"5' 8""",155 lbs.,"66""",Orthodox,"Sep 20, 1977"
Alex Zuniga,,145 lbs.,,,
Alexander Yakovlev,"6' 3""",155 lbs.,"74""",Southpaw,"Jul 18, 1984"
Alexandre Dantas,"6' 2""",238 lbs.,,Orthodox,"Mar 01, 1979"
Alexandre Ferreira,"5' 7""",205 lbs.,,Orthodox,"Apr 25, 1979"
Alexandre Pantoja,"5' 5""",125 lbs.,"67""",Orthodox,"Apr 16, 1990"
Ali Bagautinov,"5' 4""",125 lbs.,"65""",Orthodox,"Jun 10, 1985"
Allan Nascimento,"5' 9""",125 lbs.,,Orthodox,"Sep 11, 1991"
Allan Zuniga,"5' 7""",155 lbs.,"70""",Orthodox,"Apr 04, 1992"
Alvin Cacdac,"5' 6""",125 lbs.,,Orthodox,
Amador Ramirez,,135 lbs.,,,"Jun 14, 1990"
Amber Tackett,,115 lbs.,,,
Amir Rahnavardi,"6' 0""",205 lbs.,,Orthodox,"Dec 07, 1974"
Amir Sadollah,"5' 10""",170 lbs.,"74""",Orthodox,"Aug 27, 1980"
An Ying Wang,"6' 0""",170 lbs.,,Orthodox,"Apr 04, 1991"
Andre Galvao,"5' 7""",168 lbs.,,Orthodox,"Sep 29, 1982"
Andre Walker,"5' 11""",205 lbs.,,Southpaw,
Andrew Ramm,"6' 1""",160 lbs.,,,
Andrew Valladerez,,135 lbs.,,,
Andrews Nakahara,"6' 1""",185 lbs.,,Orthodox,"Mar 12, 1983"
Andy Ogle,"5' 8""",145 lbs.,"69""",Orthodox,"Feb 16, 1989"
Andy Uhrich,"6' 0""",170 lbs.,,,
Andy Wang,"5' 6""",155 lbs.,,Orthodox,"May 28, 1977"
Angela Magana,"5' 1""",115 lbs.,"65""",,"Aug 02, 1983"
Anthony Adams,"6' 0""",185 lbs.,"77""",Orthodox,"Jan 13, 1988"
Anthony Hamilton,"6' 5""",260 lbs.,"76""",Orthodox,"Apr 14, 1980"
Anthony Lapsley,"5' 9""",170 lbs.,"71""",Southpaw,"Feb 13, 1980"
Anthony Macias,"5' 9""",185 lbs.,,Switch,
Anton Zafir,"5' 11""",170 lbs.,"72""",Orthodox,"May 10, 1987"
Antonio Banuelos,"5' 5""",135 lbs.,"63""",Orthodox,"Sep 23, 1979"
Ariel Gandulla,"5' 11""",205 lbs.,,Orthodox,"May 07, 1968"
Asbel Cancio,"5' 10""",225 lbs.,,,
Aspen Ladd,"5' 6""",135 lbs.,"66""",Orthodox,"Mar 01, 1995"
Atsushi Yamamoto,"5' 6""",139 lbs.,,Orthodox,"Oct 02, 1980"
Augusto Sakai,"6' 3""",265 lbs.,"77""",Orthodox,"May 09, 1991"
Austen Lane,"6' 6""",245 lbs.,"80""",Orthodox,"Nov 09, 1987"
Austin Vanderford,"5' 11""",170 lbs.,"74""",Orthodox,"Mar 21, 1990"
Bao Quach,"5' 3""",145 lbs.,,Orthodox,"Sep 04, 1979"
Bart Palaszewski,"5' 9""",145 lbs.,"70""",Orthodox,"May 30, 1983"
Bartosz Fabinski,"6' 0""",170 lbs.,"75""",Orthodox,"Apr 26, 1986"
Bec Rawlings,"5' 6""",125 lbs.,"64""",Orthodox,"Feb 11, 1989"
Ben Earwood,"5' 8""",170 lbs.,,Orthodox,
Ben Lagman,"6' 2""",185 lbs.,,,"Sep 04, 1986"
Ben Wall,"5' 10""",155 lbs.,"73""",Orthodox,"Mar 25, 1989"
Beneil Dariush,"5' 10""",155 lbs.,"72""",Southpaw,"May 06, 1989"
Benji Radach,"5' 10""",185 lbs.,,Orthodox,"Apr 05, 1979"
Bernardo Magalhaes,"5' 9""",155 lbs.,"65""",Orthodox,"Apr 08, 1981"
Bharat Kandare,"5' 7""",135 lbs.,"72""",Orthodox,"Jun 20, 1987"
Bibiano Fernandes,"5' 7""",139 lbs.,,Orthodox,"Mar 30, 1980"
Billy Quarantillo,"5' 10""",155 lbs.,,,
Billy Vaughan,"5' 6""",155 lbs.,,,"Dec 02, 1983"
Bobby Nash,"6' 0""",170 lbs.,"74""",Orthodox,"Mar 26, 1990"
Brad Imes,"6' 7""",265 lbs.,,Orthodox,"Mar 13, 1977"
Brad Katona,"5' 6""",135 lbs.,"64""",Orthodox,"Dec 19, 1991"
Brandon Gaines,"6' 3""",185 lbs.,,,
Brandon Halsey,"6' 0""",185 lbs.,,,"Sep 16, 1986"
Brandon Magana,,170 lbs.,,Orthodox,
Brandon Saling,"5' 10""",170 lbs.,,,"Jan 28, 1986"
Brendan O'Reilly,"5' 7""",170 lbs.,"69""",Orthodox,"Jun 24, 1987"
Brian Camozzi,"6' 2""",170 lbs.,"78""",Orthodox,"Jun 24, 1991"
Brian Ebersole,"6' 0""",170 lbs.,"73""",Southpaw,"Nov 27, 1980"
Brianna Van Buren,"4' 11""",115 lbs.,,,"Aug 04, 1993"
Brock Jardine,"5' 11""",170 lbs.,"73""",Orthodox,"Jul 10, 1985"
Brodie Farber,"6' 1""",170 lbs.,,Orthodox,"Jul 05, 1980"
