R_fighter;B_fighter;R_KD;B_KD;R_SIG_STR.;B_SIG_STR.;R_SIG_STR_pct;B_SIG_STR_pct;R_TOTAL_STR.;B_TOTAL_STR.;R_TD;B_TD;R_TD_pct;B_TD_pct;R_SUB_ATT;B_SUB_ATT;R_PASS;B_PASS;R_REV;B_REV;R_HEAD;B_HEAD;R_BODY;B_BODY;R_LEG;B_LEG;R_DISTANCE;B_DISTANCE;R_CLINCH;B_CLINCH;R_GROUND;B_GROUND;win_by;last_round;last_round_time;Format;Referee;date;location;Fight_type;Winner
Max Holloway;Frankie Edgar;0;0;129 of 328;96 of 264;39%;36%;131 of 330;96 of 264;0 of 0;1 of 15;0%;6%;0;0;0;0;0;0;109 of 295;57 of 195;20 of 33;21 of 48;0 of 0;18 of 21;120 of 319;93 of 252;8 of 8;2 of 10;1 of 1;1 of 2;Decision - Unanimous;5;5:00;5 Rnd (5-5-5-5-5);Herb Dean;July 27, 2019;Edmonton, Alberta, Canada;UFC Featherweight Title Bout;Max Holloway
Cris Cyborg;Felicia Spencer;0;0;122 of 216;38 of 85;56%;44%;138 of 234;64 of 115;0 of 0;0 of 8;0%;0%;0;0;1;0;0;0;59 of 147;21 of 64;43 of 48;9 of 13;20 of 21;8 of 8;81 of 160;31 of 70;34 of 42;3 of 9;7 of 14;4 of 6;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Yves Lavigne;July 27, 2019;Edmonton, Alberta, Canada;Women's Featherweight Bout;Cris Cyborg
Geoff Neal;Niko Price;0;1;41 of 61;24 of 57;67%;42%;53 of 73;42 of 79;2 of 4;0 of 2;50%;0%;0;0;2;1;0;1;41 of 60;15 of 41;0 of 1;7 of 14;0 of 0;2 of 2;8 of 18;14 of 39;6 of 8;6 of 8;27 of 35;4 of 10;KO/TKO;2;2:39;3 Rnd (5-5-5);Dan Miragliotta;July 27, 2019;Edmonton, Alberta, Canada;Welterweight Bout;Geoff Neal
Olivier Aubin-Mercier;Arman Tsarukyan;0;0;23 of 48;47 of 105;47%;44%;36 of 61;110 of 174;0 of 3;2 of 11;0%;18%;0;0;0;0;0;0;14 of 34;28 of 77;8 of 12;11 of 18;1 of 2;8 of 10;17 of 41;20 of 68;1 of 1;5 of 8;5 of 6;22 of 29;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;July 27, 2019;Edmonton, Alberta, Canada;Lightweight Bout;Arman Tsarukyan
Marc-Andre Barriault;Krzysztof Jotko;0;0;39 of 77;40 of 117;50%;34%;62 of 102;98 of 181;1 of 3;1 of 7;33%;14%;0;0;0;0;0;1;18 of 51;20 of 92;11 of 16;17 of 22;10 of 10;3 of 3;18 of 52;19 of 85;21 of 25;21 of 32;0 of 0;0 of 0;Decision - Split;3;5:00;3 Rnd (5-5-5);Herb Dean;July 27, 2019;Edmonton, Alberta, Canada;Middleweight Bout;Krzysztof Jotko
Alexis Davis;Viviane Araujo;0;0;68 of 137;67 of 148;49%;45%;134 of 213;79 of 162;0 of 4;2 of 2;0%;100%;0;0;0;0;1;0;33 of 88;52 of 128;20 of 33;12 of 17;15 of 16;3 of 3;53 of 110;64 of 145;6 of 15;2 of 2;9 of 12;1 of 1;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Yves Lavigne;July 27, 2019;Edmonton, Alberta, Canada;Women's Flyweight Bout;Viviane Araujo
Hakeem Dawodu;Yoshinori Horie;1;0;80 of 154;39 of 79;51%;49%;89 of 166;41 of 81;0 of 0;0 of 1;0%;0%;0;0;0;0;0;0;42 of 95;24 of 62;27 of 44;7 of 8;11 of 15;8 of 9;38 of 99;35 of 68;42 of 55;4 of 11;0 of 0;0 of 0;KO/TKO;3;4:09;3 Rnd (5-5-5);Kyle Cardinal;July 27, 2019;Edmonton, Alberta, Canada;Featherweight Bout;Hakeem Dawodu
Gavin Tucker;SeungWoo Choi;0;0;37 of 62;23 of 96;59%;23%;49 of 77;42 of 116;5 of 13;2 of 2;38%;100%;2;0;3;2;1;0;21 of 40;11 of 74;7 of 11;12 of 21;9 of 11;0 of 1;24 of 45;13 of 80;5 of 7;10 of 16;8 of 10;0 of 0;Submission;3;3:17;3 Rnd (5-5-5);Marc Goddard;July 27, 2019;Edmonton, Alberta, Canada;Featherweight Bout;Gavin Tucker
Alexandre Pantoja;Deiveson Figueiredo;0;1;61 of 151;67 of 113;40%;59%;68 of 160;71 of 117;2 of 10;2 of 3;20%;66%;0;0;0;2;0;0;41 of 122;53 of 98;9 of 14;12 of 13;11 of 15;2 of 2;48 of 131;46 of 78;13 of 19;11 of 19;0 of 1;10 of 16;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Dan Miragliotta;July 27, 2019;Edmonton, Alberta, Canada;Flyweight Bout;Deiveson Figueiredo
Gillian Robertson;Sarah Frota;0;0;29 of 42;9 of 20;69%;45%;51 of 64;33 of 46;2 of 3;0 of 0;66%;0%;0;0;4;0;0;0;24 of 37;8 of 19;2 of 2;1 of 1;3 of 3;0 of 0;7 of 11;3 of 8;0 of 0;0 of 0;22 of 31;6 of 12;KO/TKO;2;4:13;3 Rnd (5-5-5);Kyle Cardinal;July 27, 2019;Edmonton, Alberta, Canada;Women's Flyweight Bout;Gillian Robertson
