fighter_name,Height,Weight,Reach,Stance,DOB
AJ Fonseca,"5' 4""",145 lbs.,,,
AJ Matthews,"5' 11""",185 lbs.,,,
AJ McKee,"5' 10""",145 lbs.,,,
AJ Siscoe,"5' 7""",135 lbs.,,,
Aalon Cruz,"6' 0""",145 lbs.,,,
Aaron Brink,"6' 3""",205 lbs.,,Orthodox,"Nov 12, 1974"
Aaron Ely,"5' 8""",135 lbs.,,,"Mar 18, 1989"
Aaron Jeffery,"6' 2""",185 lbs.,,,"Nov 14, 1992"
Aaron Lanfranco,,155 lbs.,,,"Aug 26, 1986"
Aaron Miller,"5' 9""",145 lbs.,,,
Aaron Phillips,"5' 9""",135 lbs.,"70""",Southpaw,"Aug 05, 1989"
Aaron Riley,"5' 8""",155 lbs.,"69""",Southpaw,"Dec 09, 1980"
Aaron Rosa,"6' 4""",205 lbs.,"78""",Orthodox,"May 28, 1983"
Aaron Simpson,"6' 0""",170 lbs.,"73""",Orthodox,"Jul 20, 1974"
Aaron Trujillo,"5' 5""",125 lbs.,,,
Aaron Wetherspoon,,170 lbs.,,,
Aaron Wilkinson,"5' 10""",155 lbs.,,,"Jan 31, 1987"
Abdul Razak Alhassan,"5' 10""",170 lbs.,"73""",Orthodox,"Aug 11, 1985"
Abdul-Kerim Edilov,"6' 2""",205 lbs.,"78""",Orthodox,"Nov 25, 1991"
Abel Cullum,"5' 7""",139 lbs.,,Orthodox,"Apr 21, 1987"
Abel Trujillo,"5' 8""",155 lbs.,"70""",Orthodox,"Sep 18, 1983"
Abner Lloveras,"5' 11""",155 lbs.,"71""",,"Sep 04, 1982"
Abongo Humphrey,"5' 11""",205 lbs.,,Orthodox,
Abram Torres,"5' 10""",170 lbs.,,,"Oct 29, 1982"
Abu Azaitar,"5' 9""",185 lbs.,"76""",Orthodox,"Mar 10, 1986"
Achmed Labasanov,"6' 3""",215 lbs.,,Orthodox,"Apr 24, 1978"
Adam Antolin,"5' 5""",125 lbs.,"63""",Orthodox,"Feb 28, 1982"
Adam Cella,"6' 2""",170 lbs.,"78""",,"Jun 26, 1985"
Adam Hunter,"6' 1""",185 lbs.,"73""",Orthodox,"Oct 16, 1983"
Adam Khaliev,"6' 0""",170 lbs.,,Orthodox,"Apr 16, 1984"
Adam Lynn,"5' 10""",155 lbs.,,Orthodox,
Adam Meredith,"6' 2""",170 lbs.,,,
Adam Milstead,"6' 3""",205 lbs.,"76""",Orthodox,"Jul 03, 1987"
Adam Piccolotti,"5' 11""",155 lbs.,,,"Oct 23, 1988"
Adam Schindler,"5' 8""",155 lbs.,,,"May 19, 1983"
Adam Smith,,,,,
Adam Steele,,170 lbs.,,,
Adam Wieczorek,"6' 5""",250 lbs.,"81""",Orthodox,"Feb 05, 1992"
Adam Yandiev,"5' 9""",185 lbs.,"74""",Orthodox,"Aug 07, 1988"
Adin Duenas,"5' 6""",145 lbs.,,,"Jul 02, 1988"
Adlan Amagov,"6' 2""",170 lbs.,"76""",Orthodox,"Oct 30, 1986"
Adli Edwards,,145 lbs.,,,"Aug 28, 1989"
Adrian Diaz,"5' 10""",145 lbs.,,Southpaw,"Apr 26, 1988"
Adrian Serrano,"5' 8""",170 lbs.,,,"Dec 23, 1963"
Adriano Martins,"5' 10""",155 lbs.,"72""",Southpaw,"Dec 16, 1982"
Adriano Santos,,,,,
Adrienna Jenkins,"5' 8""",145 lbs.,,,"Jul 22, 1981"
Aiemann Zahabi,"5' 8""",135 lbs.,"68""",Orthodox,"Nov 19, 1987"
Aisling Daly,"5' 2""",115 lbs.,"64""",,"Dec 24, 1987"
Aji Susilo,"5' 10""",155 lbs.,,,
Akbarh Arreola,"5' 10""",155 lbs.,"71""",Southpaw,"Jan 14, 1983"
Akihiro Gono,"5' 7""",170 lbs.,"68""",Switch,"Oct 07, 1974"
Akihito Tanaka,,,,Southpaw,
Akira Corassani,"5' 8""",145 lbs.,"68""",Orthodox,"Aug 27, 1982"
Akira Kikuchi,"5' 8""",155 lbs.,,Orthodox,"Jul 23, 1978"
Akira Shoji,"5' 8""",195 lbs.,,Orthodox,"Jan 31, 1974"
Akitoshi Tamura,"5' 9""",135 lbs.,"70""",Orthodox,"May 31, 1980"
Akiyo Nishiura,"5' 8""",139 lbs.,,Southpaw,"Aug 08, 1983"
Al Iaquinta,"5' 10""",155 lbs.,"70""",Orthodox,"Apr 30, 1987"
