R_fighter;B_fighter;R_KD;B_KD;R_SIG_STR.;B_SIG_STR.;R_SIG_STR_pct;B_SIG_STR_pct;R_TOTAL_STR.;B_TOTAL_STR.;R_TD;B_TD;R_TD_pct;B_TD_pct;R_SUB_ATT;B_SUB_ATT;R_PASS;B_PASS;R_REV;B_REV;R_HEAD;B_HEAD;R_BODY;B_BODY;R_LEG;B_LEG;R_DISTANCE;B_DISTANCE;R_CLINCH;B_CLINCH;R_GROUND;B_GROUND;win_by;last_round;last_round_time;Format;Referee;date;location;Fight_type;Winner
Henry Cejudo;Marlon Moraes;0;0;90 of 171;57 of 119;52%;47%;99 of 182;59 of 121;1 of 4;0 of 2;25%;0%;1;0;1;0;0;0;73 of 150;35 of 89;13 of 16;7 of 8;4 of 5;15 of 22;45 of 118;54 of 116;19 of 23;2 of 2;26 of 30;1 of 1;KO/TKO;3;4:51;5 Rnd (5-5-5-5-5);Marc Goddard;June 08, 2019;Chicago, Illinois, USA;UFC Bantamweight Title Bout;Henry Cejudo
Valentina Shevchenko;Jessica Eye;1;0;8 of 11;2 of 12;72%;16%;37 of 40;42 of 52;2 of 2;0 of 0;100%;0%;1;0;3;0;0;0;4 of 5;0 of 7;4 of 6;0 of 2;0 of 0;2 of 3;5 of 8;2 of 12;2 of 2;0 of 0;1 of 1;0 of 0;KO/TKO;2;0:26;5 Rnd (5-5-5-5-5);Robert Madrigal;June 08, 2019;Chicago, Illinois, USA;UFC Women's Flyweight Title Bout;Valentina Shevchenko
Tony Ferguson;Donald Cerrone;0;0;104 of 200;68 of 185;52%;36%;104 of 200;68 of 185;0 of 0;1 of 1;0%;100%;0;0;0;0;0;0;65 of 144;43 of 152;25 of 37;15 of 23;14 of 19;10 of 10;103 of 198;68 of 184;1 of 2;0 of 1;0 of 0;0 of 0;TKO - Doctor's Stoppage;2;5:00;3 Rnd (5-5-5);Dan Miragliotta;June 08, 2019;Chicago, Illinois, USA;Lightweight Bout;Tony Ferguson
Jimmie Rivera;Petr Yan;0;2;73 of 192;56 of 189;38%;29%;76 of 195;58 of 192;0 of 3;1 of 3;0%;33%;0;0;0;1;0;0;42 of 145;40 of 166;15 of 24;13 of 19;16 of 23;3 of 4;60 of 173;42 of 167;9 of 15;10 of 12;4 of 4;4 of 10;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Kevin MacDonald;June 08, 2019;Chicago, Illinois, USA;Bantamweight Bout;Petr Yan
Tai Tuivasa;Blagoy Ivanov;0;1;64 of 144;73 of 123;44%;59%;66 of 146;81 of 131;0 of 0;2 of 2;0%;100%;0;0;0;0;0;0;39 of 114;65 of 114;6 of 7;7 of 8;19 of 23;1 of 1;50 of 126;62 of 111;14 of 18;5 of 6;0 of 0;6 of 6;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Dan Miragliotta;June 08, 2019;Chicago, Illinois, USA;Heavyweight Bout;Blagoy Ivanov
Tatiana Suarez;Nina Ansaroff;0;0;75 of 142;48 of 99;52%;48%;95 of 166;54 of 105;4 of 13;0 of 0;30%;0%;0;0;2;0;0;0;29 of 85;31 of 66;22 of 29;15 of 26;24 of 28;2 of 7;42 of 100;39 of 89;7 of 7;4 of 5;26 of 35;5 of 5;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Robert Madrigal;June 08, 2019;Chicago, Illinois, USA;Women's Strawweight Bout;Tatiana Suarez
Aljamain Sterling;Pedro Munhoz;0;0;174 of 349;105 of 265;49%;39%;175 of 350;108 of 269;0 of 7;0 of 0;0%;0%;0;0;0;0;0;0;123 of 250;44 of 159;36 of 73;29 of 64;15 of 26;32 of 42;172 of 338;102 of 257;2 of 11;3 of 8;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;June 08, 2019;Chicago, Illinois, USA;Bantamweight Bout;Aljamain Sterling
Karolina Kowalkiewicz;Alexa Grasso;0;0;90 of 232;148 of 369;38%;40%;92 of 234;163 of 384;0 of 0;0 of 0;0%;0%;0;1;0;0;0;0;55 of 186;92 of 289;27 of 33;33 of 46;8 of 13;23 of 34;79 of 217;123 of 339;11 of 15;25 of 30;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Kevin MacDonald;June 08, 2019;Chicago, Illinois, USA;Women's Strawweight Bout;Alexa Grasso
Ricardo Lamas;Calvin Kattar;0;1;12 of 29;22 of 41;41%;53%;12 of 29;22 of 41;0 of 1;0 of 0;0%;0%;0;0;0;0;0;0;2 of 12;11 of 28;4 of 5;11 of 13;6 of 12;0 of 0;12 of 29;16 of 34;0 of 0;2 of 2;0 of 0;4 of 5;KO/TKO;1;4:06;3 Rnd (5-5-5);Dan Miragliotta;June 08, 2019;Chicago, Illinois, USA;Featherweight Bout;Calvin Kattar
Yan Xiaonan;Angela Hill;0;0;94 of 249;71 of 144;37%;49%;105 of 264;78 of 151;1 of 1;1 of 3;100%;33%;0;1;1;0;0;0;64 of 199;44 of 110;11 of 22;21 of 26;19 of 28;6 of 8;83 of 229;56 of 127;8 of 17;13 of 15;3 of 3;2 of 2;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Robert Madrigal;June 08, 2019;Chicago, Illinois, USA;Women's Strawweight Bout;Yan Xiaonan
