fighter,weight_class
Max Holloway,Featherweight
Cris Cyborg,Women's Featherweight
Geoff Neal,Welterweight
Olivier Aubin-Mercier,Lightweight
Marc-Andre Barriault,Middleweight
Alexis Davis,Women's Flyweight
Hakeem Dawodu,Featherweight
Gavin Tucker,Featherweight
Alexandre Pantoja,Flyweight
Gillian Robertson,Women's Flyweight
Erik Koch,Welterweight
Rafael Dos Anjos,Welterweight
Aleksei Oleinik,Heavyweight
Greg Hardy,Heavyweight
James Vick,Lightweight
Alexander Hernandez,Lightweight
Andrei Arlovski,Heavyweight
Alex Caceres,Featherweight
Raquel Pennington,Women's Bantamweight
Sam Alvey,Light Heavyweight
Roxanne Modafferi,Women's Flyweight
Ray Borg,Bantamweight
Mario Bautista,Bantamweight
Domingo Pilarte,Bantamweight
Germaine de Randamie,Women's Bantamweight
Urijah Faber,Bantamweight
Josh Emmett,Featherweight
Karl Roberson,Middleweight
Marvin Vettori,Middleweight
Mike Rodriguez,Light Heavyweight
Andre Fili,Featherweight
Julianna Pena,Women's Bantamweight
Darren Elkins,Featherweight
Liu Pingyuan,Bantamweight
Livinha Souza,Women's Strawweight
Benito Lopez,Bantamweight
Jon Jones,Light Heavyweight
Amanda Nunes,Women's Bantamweight
Jorge Masvidal,Welterweight
Jan Blachowicz,Light Heavyweight
Diego Sanchez,Welterweight
Gilbert Melendez,Featherweight
Marlon Vera,Bantamweight
Claudia Gadelha,Women's Strawweight
Alejandro Perez,Bantamweight
Edmen Shahbazyan,Middleweight
Ismail Naurdiev,Welterweight
Julia Avila,Women's Bantamweight
Francis Ngannou,Heavyweight
Jussier Formiga,Flyweight
Demian Maia,Welterweight
Roosevelt Roberts,Lightweight
Drew Dober,Lightweight
Alonzo Menifield,Light Heavyweight
Ricardo Ramos,Bantamweight
Eryk Anders,Light Heavyweight
Jared Gordon,Lightweight
Dalcha Lungiambula,Light Heavyweight
Emily Whitmire,Women's Strawweight
Maurice Greene,Heavyweight
Renato Moicano,Featherweight
Bryan Barberena,Welterweight
Andre Ewell,Bantamweight
Andrea Lee,Women's Flyweight
Kevin Holland,Middleweight
Dan Ige,Featherweight
Ashley Yoder,Women's Strawweight
Matt Wiman,Lightweight
Allen Crowder,Heavyweight
Ariane Lipski,Women's Flyweight
Deron Winn,Middleweight
Henry Cejudo,Bantamweight
Valentina Shevchenko,Women's Flyweight
Tony Ferguson,Lightweight
Jimmie Rivera,Bantamweight
Tai Tuivasa,Heavyweight
Tatiana Suarez,Women's Strawweight
Aljamain Sterling,Bantamweight
Karolina Kowalkiewicz,Women's Strawweight
Ricardo Lamas,Featherweight
Yan Xiaonan,Women's Strawweight
Bevon Lewis,Middleweight
Eddie Wineland,Bantamweight
Katlyn Chookagian,Women's Flyweight
Alexander Gustafsson,Light Heavyweight
Jimi Manuwa,Light Heavyweight
Makwan Amirkhani,Featherweight
Damir Hadzovic,Lightweight
Daniel Teymur,Featherweight
Rostem Akman,Welterweight
Tonya Evinger,Women's Bantamweight
Stevie Ray,Lightweight
Nick Hein,Lightweight
Bea Malecki,Women's Bantamweight
Darko Stosic,Light Heavyweight
Joel Alvarez,Lightweight
Antonio Carlos Junior,Middleweight
Megan Anderson,Women's Featherweight
Vicente Luque,Welterweight
Charles Oliveira,Lightweight
Davi Ramos,Lightweight
Aspen Ladd,Women's Bantamweight
Desmond Green,Lightweight
Danny Roberts,Welterweight
Michael Trizano,Featherweight
Patrick Cummins,Light Heavyweight
Zak Cummings,Middleweight
Julio Arce,Featherweight
Rose Namajunas,Women's Strawweight
Jared Cannonier,Middleweight
Jose Aldo,Featherweight
Thiago Alves,Welterweight
Irene Aldana,Women's Bantamweight
Rogerio Nogueira,Light Heavyweight
Thiago Moises,Lightweight
Warlley Alves,Welterweight
BJ Penn,Lightweight
Luana Carolina,Women's Flyweight
Raoni Barcelos,Bantamweight
Talita Bernardo,Women's Bantamweight
Al Iaquinta,Lightweight
Derek Brunson,Middleweight
Cub Swanson,Featherweight
Brad Katona,Bantamweight
Walt Harris,Heavyweight
Macy Chiasson,Women's Bantamweight
Aiemann Zahabi,Bantamweight
Nordine Taleb,Welterweight
Kyle Nelson,Featherweight
Arjan Bhullar,Heavyweight
Mitch Gagnon,Bantamweight
Jacare Souza,Middleweight
Alex Oliveira,Welterweight
Glover Teixeira,Light Heavyweight
John Lineker,Bantamweight
Ben Saunders,Welterweight
Carla Esparza,Women's Strawweight
Gilbert Burns,Lightweight
Jim Miller,Lightweight
Angela Hill,Women's Strawweight
Court McGee,Welterweight
Alistair Overeem,Heavyweight
Islam Makhachev,Lightweight
Sergei Pavlovich,Heavyweight
Krzysztof Jotko,Middleweight
Movsar Evloev,Featherweight
Sultan Aliev,Welterweight
Alexander Yakovlev,Lightweight
Marcin Tybura,Heavyweight
Gadzhimurad Antigulov,Light Heavyweight
Magomed Mustafaev,Lightweight
Max Holloway,Lightweight
Kelvin Gastelum,Middleweight
Alan Jouban,Welterweight
Ovince Saint Preux,Light Heavyweight
Jalin Turner,Lightweight
Wilson Reis,Flyweight
Max Griffin,Welterweight
Boston Salmon,Bantamweight
Curtis Millender,Welterweight
Montel Jackson,Bantamweight
Lauren Mueller,Women's Flyweight
Brandon Davis,Bantamweight
Edson Barboza,Lightweight
David Branch,Middleweight
Kennedy Nzechukwu,Light Heavyweight
Sodiq Yusuff,Featherweight
Marina Rodriguez,Women's Strawweight
Ross Pearson,Lightweight
Enrique Barzola,Featherweight
Sabina Mazo,Women's Flyweight
Alex Perez,Bantamweight
Stephen Thompson,Welterweight
Curtis Blaydes,Heavyweight
John Makdessi,Lightweight
Luis Pena,Featherweight
Maycee Barber,Women's Flyweight
Bryce Mitchell,Featherweight
Randa Markos,Women's Strawweight
Ryan MacDonald,Bantamweight
Eric Shelton,Flyweight
Darren Till,Welterweight
Leon Edwards,Welterweight
Volkan Oezdemir,Light Heavyweight
Nathaniel Wood,Bantamweight
Jack Marshman,Middleweight
Arnold Allen,Featherweight
Marc Diakiese,Lightweight
Nicolae Negumereanu,Light Heavyweight
Danny Henry,Featherweight
Molly McCann,Women's Flyweight
Mike Grundy,Featherweight
Derrick Lewis,Heavyweight
Elizeu Zaleski dos Santos,Welterweight
Tim Means,Welterweight
Blagoy Ivanov,Heavyweight
Beneil Dariush,Lightweight
Tim Boetsch,Middleweight
Anthony Rocco Martin,Welterweight
Marion Reneau,Women's Bantamweight
Grant Dawson,Featherweight
Louis Smolka,Bantamweight
Alex Morono,Welterweight
Alex White,Lightweight
Tyron Woodley,Welterweight
Robbie Lawler,Welterweight
Tecia Torres,Women's Strawweight
Cody Garbrandt,Bantamweight
Jeremy Stephens,Featherweight
Misha Cirkunov,Light Heavyweight
Cody Stamann,Bantamweight
Gina Mazany,Women's Bantamweight
Polyana Viana,Women's Strawweight
Stefan Struve,Heavyweight
Gian Villante,Light Heavyweight
Liz Carmouche,Women's Flyweight
John Dodson,Bantamweight
Magomed Ankalaev,Light Heavyweight
Dwight Grant,Welterweight
Veronica Macedo,Women's Flyweight
Michel Prazeres,Welterweight
Rustam Khabilov,Lightweight
Damir Ismagulov,Lightweight
Cortney Casey,Women's Strawweight
Ashlee Evans-Smith,Women's Flyweight
Scott Holtzman,Lightweight
Renan Barao,Bantamweight
Alexandra Albu,Women's Strawweight
Israel Adesanya,Middleweight
Lando Vannata,Lightweight
Rani Yahya,Bantamweight
Montana De La Rosa,Women's Flyweight
Jimmy Crute,Light Heavyweight
Devonte Smith,Lightweight
Shane Young,Featherweight
Kai Kara-France,Flyweight
Teruto Ishihara,Bantamweight
Callan Potter,Lightweight
Wuliji Buren,Bantamweight
Raphael Assuncao,Bantamweight
Johnny Walker,Light Heavyweight
Markus Perez,Middleweight
Mara Romero Borella,Women's Flyweight
Junior Albini,Heavyweight
Geraldo de Freitas,Featherweight
Magomed Bibulatov,Flyweight
Henry Cejudo,Flyweight
Gregor Gillespie,Lightweight
Joseph Benavidez,Flyweight
Paige VanZant,Women's Flyweight
Joanne Calderwood,Women's Flyweight
Cory Sandhagen,Bantamweight
Dennis Bermudez,Lightweight
Belal Muhammad,Welterweight
Kyle Stewart,Welterweight
Carlos Condit,Welterweight
Ilir Latifi,Light Heavyweight
Chad Mendes,Featherweight
Cat Zingano,Women's Featherweight
Douglas Silva de Andrade,Bantamweight
Uriah Hall,Middleweight
Brian Kelleher,Bantamweight
Kevin Lee,Lightweight
Rob Font,Bantamweight
Zak Ottow,Welterweight
Bobby Green,Lightweight
Gerald Meerschaert,Middleweight
Trevor Smith,Middleweight
Adam Milstead,Light Heavyweight
Chris de la Rocha,Heavyweight
